Liczba wypadków,Liczba zabitych,Liczba rannych,Rok,Warunki atmosferyczne,Rodzaj zdarzenia,Warunki atmosferyczne,Oświetlenie,Charakterystyka miejsca zdarzenia,IDKSIP zdarzenia,Godzina,Dzień,Ranny,GPS x,GPS y,Numer drogi,Obszar,Geometria drogi,Kategoria drogi 1,Rodzaj drogi,Czy w zdarzeniu był sprawca nietrzeźwy,Powiat,Gmina
1,1,0,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-103832643M,21,2016-02-04,Nieokreślone (puste pole),20*38'028,53*00'367,616,Obszar niezabudowany,"Zakręt, łuk",Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT CIECHANOWSKI,GRUDUSK - OBSZAR WIEJSKI
1,0,1,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-104838479M,22,2016-09-13,Ciężko,20*19'008,52*14'293,3817W,Obszar niezabudowany,"Zakręt, łuk",Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT SOCHACZEWSKI,SOCHACZEW - OBSZAR WIEJSKI
1,1,0,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-104838479M,22,2016-09-13,Nieokreślone (puste pole),20*19'008,52*14'293,3817W,Obszar niezabudowany,"Zakręt, łuk",Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT SOCHACZEWSKI,SOCHACZEW - OBSZAR WIEJSKI
1,0,1,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-104866527M,20,2016-09-20,Lekko,20*24'235,52*03'137,50a,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT ŻYRARDOWSKI,WISKITKI - OBSZAR WIEJSKI
1,0,0,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-104866527M,20,2016-09-20,Nieokreślone (puste pole),20*24'235,52*03'137,50a,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT ŻYRARDOWSKI,WISKITKI - OBSZAR WIEJSKI
1,1,0,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Pobocze,EWK-104059235L,4,2016-03-16,Nieokreślone (puste pole),21*42'060,51*32'501,48,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT KOZIENICKI,SIECIECHÓW - OBSZAR WIEJSKI
1,0,1,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Pobocze,EWK-104369069Q,2,2016-05-26,Lekko,21*21'498,51*16'484,GMINNA,Obszar zabudowany,Odcinek prosty,Droga gminna,Jednojezdniowa dwukierunkowa,N,POWIAT ZWOLEŃSKI,KAZANÓW - OBSZAR WIEJSKI
1,0,1,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Pobocze,EWK-104595622T,23,2016-07-09,Lekko,21*28'280,51*35'552,48,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT KOZIENICKI,KOZIENICE - OBSZAR WIEJSKI
1,0,1,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Skarpa, rów",EWK-104102908A,23,2016-03-25,Ciężko,21*21'123,52*34'346,62,Obszar zabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT WYSZKOWSKI,SOMIANKA - OBSZAR WIEJSKI
1,0,0,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Skarpa, rów",EWK-104102908A,23,2016-03-25,Nieokreślone (puste pole),21*21'123,52*34'346,62,Obszar zabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT WYSZKOWSKI,SOMIANKA - OBSZAR WIEJSKI
1,0,1,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Skarpa, rów",EWK-104550871Q,23,2016-06-28,Lekko,21*22'274,51*32'569,P1716W,Obszar niezabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT KOZIENICKI,GŁOWACZÓW - OBSZAR WIEJSKI
1,0,1,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Wjazd, wyjazd z posesji, pola",EWK-104773941E,23,2016-08-24,Lekko,19*47'548,52*48'514,10,Obszar zabudowany,Spadek,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT SIERPECKI,ZAWIDZ - OBSZAR WIEJSKI
1,0,2,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga oświetlona,Jezdnia,EWK-103809613W,5,2016-01-29,Lekko,21*52'035,52*51'178,677,Obszar niezabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT OSTROWSKI,OSTRÓW MAZOWIECKA - OBSZAR WIEJSKI
1,0,0,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga oświetlona,Jezdnia,EWK-103809613W,5,2016-01-29,Nieokreślone (puste pole),21*52'035,52*51'178,677,Obszar niezabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT OSTROWSKI,OSTRÓW MAZOWIECKA - OBSZAR WIEJSKI
1,0,1,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga oświetlona,Jezdnia,EWK-104600339W,22,2016-07-08,Lekko,19*39'241,52*34'017,GMINNA,Obszar zabudowany,Odcinek prosty,Droga gminna,Jednojezdniowa dwukierunkowa,N,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI
1,0,1,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga oświetlona,Jezdnia,EWK-105019799F,16,2016-11-07,Lekko,22*09'208,52*35'502,695,Obszar zabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT SOKOŁOWSKI,KOSÓW LACKI - OBSZAR MIEJSKI
1,0,0,2016,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga oświetlona,Jezdnia,EWK-105019799F,16,2016-11-07,Nieokreślone (puste pole),22*09'208,52*35'502,695,Obszar zabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT SOKOŁOWSKI,KOSÓW LACKI - OBSZAR MIEJSKI
