Liczba wypadków,Liczba zabitych,Liczba rannych,Rok,Warunki atmosferyczne,Rodzaj zdarzenia,Warunki atmosferyczne,Oświetlenie,Charakterystyka miejsca zdarzenia,IDKSIP zdarzenia,Godzina,Dzień,Ranny,GPS x,GPS y,Numer drogi,Obszar,Geometria drogi,Kategoria drogi 1,Rodzaj drogi,Czy w zdarzeniu był sprawca nietrzeźwy,Powiat,Gmina
1,0,1,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-106051025Y,1,2017-06-16,Ciężko,19*33'188,52*42'472,P2999W,Obszar niezabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT SIERPECKI,MOCHOWO - OBSZAR WIEJSKI
1,1,0,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-106317082T,20,2017-08-13,Nieokreślone (puste pole),19*25'467,52*26'288,265,Obszar niezabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT GOSTYNIŃSKI,GOSTYNIN - OBSZAR MIEJSKI
1,0,1,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-106475953K,19,2017-10-16,Lekko,22*9'585,52*31'586,627,Obszar niezabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT SOKOŁOWSKI,KOSÓW LACKI - OBSZAR MIEJSKI
1,0,0,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-106475953K,19,2017-10-16,Nieokreślone (puste pole),22*9'585,52*31'586,627,Obszar niezabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT SOKOŁOWSKI,KOSÓW LACKI - OBSZAR MIEJSKI
1,0,1,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-106579481N,21,2017-11-24,Lekko,20*05'201,52*46'291,60,Obszar zabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT PŁOŃSKI,RACIĄŻ - OBSZAR WIEJSKI
1,0,1,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Skarpa, rów",EWK-105755819E,22,2017-04-13,Lekko,21*57'563,52*45'345,627,Obszar niezabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT OSTROWSKI,MAŁKINIA GÓRNA - OBSZAR WIEJSKI
1,0,1,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Skarpa, rów",EWK-106581759A,20,2017-11-26,Lekko,19*29'120,52*34'506,62,Obszar zabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT PŁOCKI,NOWY DUNINÓW - OBSZAR WIEJSKI
1,0,0,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Skarpa, rów",EWK-106581759A,20,2017-11-26,Nieokreślone (puste pole),19*29'120,52*34'506,62,Obszar zabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT PŁOCKI,NOWY DUNINÓW - OBSZAR WIEJSKI
1,0,1,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga oświetlona,Jezdnia,EWK-105424612K,18,2017-02-12,Ciężko,21*06'240,51*16'106,GMINNA,Obszar zabudowany,Odcinek prosty,Droga gminna,Jednojezdniowa dwukierunkowa,N,POWIAT RADOMSKI,WIERZBICA - OBSZAR WIEJSKI
1,0,1,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga oświetlona,Jezdnia,EWK-105424612K,18,2017-02-12,Lekko,21*06'240,51*16'106,GMINNA,Obszar zabudowany,Odcinek prosty,Droga gminna,Jednojezdniowa dwukierunkowa,N,POWIAT RADOMSKI,WIERZBICA - OBSZAR WIEJSKI
