Liczba wypadków,Liczba zabitych,Liczba rannych,Rok,Warunki atmosferyczne,Rodzaj zdarzenia,Warunki atmosferyczne,Oświetlenie,Charakterystyka miejsca zdarzenia,IDKSIP zdarzenia,Godzina,Dzień,Ranny,GPS x,GPS y,Numer drogi,Obszar,Geometria drogi,Kategoria drogi 1,Rodzaj drogi,Czy w zdarzeniu był sprawca nietrzeźwy,Powiat,Gmina
1,0,1,2015,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-99205991P,23,2015-09-28,Lekko,21*57'169,52*22'191,W637,Obszar niezabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT WĘGROWSKI,LIW - OBSZAR WIEJSKI
1,0,0,2015,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-99205991P,23,2015-09-28,Nieokreślone (puste pole),21*57'169,52*22'191,W637,Obszar niezabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT WĘGROWSKI,LIW - OBSZAR WIEJSKI
1,0,3,2015,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Pobocze,EWK-98796999Y,20,2015-03-15,Lekko,21*06'569,51*30'496,7,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Dwie jezdnie jednokierunkowe,N,POWIAT RADOMSKI,JEDLIŃSK - OBSZAR WIEJSKI
1,0,1,2015,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Skarpa, rów",EWK-103602067J,19,2015-12-20,Lekko,20*08'119,52*37'139,GMINNA,Obszar niezabudowany,Odcinek prosty,Droga gminna,Jednojezdniowa dwukierunkowa,T,POWIAT PŁOCKI,STAROŹREBY - OBSZAR WIEJSKI
1,0,1,2015,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Skarpa, rów",EWK-99056836M,20,2015-07-22,Lekko,22*02'336,52*30'143,GMINNA,Obszar niezabudowany,Odcinek prosty,Droga gminna,Jednojezdniowa dwukierunkowa,N,POWIAT WĘGROWSKI,MIEDZNA - OBSZAR WIEJSKI
1,0,1,2015,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Skarpa, rów",EWK-99366705H,3,2015-11-28,Ciężko,21*24'230,52*56'554,61,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT MAKOWSKI,MŁYNARZE - OBSZAR WIEJSKI
1,0,0,2015,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Skarpa, rów",EWK-99366705H,3,2015-11-28,Nieokreślone (puste pole),21*24'230,52*56'554,61,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT MAKOWSKI,MŁYNARZE - OBSZAR WIEJSKI
1,0,1,2015,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga oświetlona,"Chodnik, droga dla pieszych",EWK-98743619M,19,2015-01-27,Lekko,22*18'357,52*09'448,W628,Obszar zabudowany,Odcinek prosty,Droga wojewódzka,Jednokierunkowa,N,POWIAT SIEDLCE,SIEDLCE - OBSZAR MIEJSKI
1,0,0,2015,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga oświetlona,"Chodnik, droga dla pieszych",EWK-98743619M,19,2015-01-27,Nieokreślone (puste pole),22*18'357,52*09'448,W628,Obszar zabudowany,Odcinek prosty,Droga wojewódzka,Jednokierunkowa,N,POWIAT SIEDLCE,SIEDLCE - OBSZAR MIEJSKI
1,0,1,2015,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga oświetlona,Jezdnia,EWK-98771477Q,23,2015-02-20,Lekko,21*09'102,51*24'011,G530074W,Obszar zabudowany,Odcinek prosty,Droga gminna,Jednojezdniowa dwukierunkowa,N,POWIAT RADOM,RADOM - OBSZAR MIEJSKI
