Liczba wypadków,Liczba zabitych,Liczba rannych,Rok,Warunki atmosferyczne,Rodzaj zdarzenia,Warunki atmosferyczne,Oświetlenie,Charakterystyka miejsca zdarzenia,IDKSIP zdarzenia,Godzina,Dzień,Ranny,GPS x,GPS y,Numer drogi,Obszar,Geometria drogi,Kategoria drogi 1,Rodzaj drogi,Czy w zdarzeniu był sprawca nietrzeźwy,Powiat,Gmina
1,0,1,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,"Chodnik, droga dla pieszych",EWK-106437958H,13,2017-09-30,Ciężko,20*51'379,51*13'336,G400559W,Obszar zabudowany,Odcinek prosty,Droga gminna,Jednojezdniowa dwukierunkowa,N,POWIAT SZYDŁOWIECKI,SZYDŁOWIEC - OBSZAR MIEJSKI
1,0,0,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,"Chodnik, droga dla pieszych",EWK-106437958H,13,2017-09-30,Nieokreślone (puste pole),20*51'379,51*13'336,G400559W,Obszar zabudowany,Odcinek prosty,Droga gminna,Jednojezdniowa dwukierunkowa,N,POWIAT SZYDŁOWIECKI,SZYDŁOWIEC - OBSZAR MIEJSKI
1,0,2,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Jezdnia,EWK-105383862L,11,2017-01-27,Lekko,20*38'571,53*11'572,P2377W,Obszar zabudowany,,Droga powiatowa,Jednojezdniowa dwukierunkowa,T,POWIAT MŁAWSKI,MŁAWA - OBSZAR MIEJSKI
1,0,0,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Jezdnia,EWK-105383862L,11,2017-01-27,Nieokreślone (puste pole),20*38'571,53*11'572,P2377W,Obszar zabudowany,,Droga powiatowa,Jednojezdniowa dwukierunkowa,T,POWIAT MŁAWSKI,MŁAWA - OBSZAR MIEJSKI
1,0,1,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Jezdnia,EWK-105911957A,20,2017-05-20,Lekko,19*41'416,52*32'386,5207W,Obszar zabudowany,Odcinek prosty,Droga powiatowa,Jednokierunkowa,N,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI
1,0,0,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Jezdnia,EWK-105911957A,20,2017-05-20,Nieokreślone (puste pole),19*41'416,52*32'386,5207W,Obszar zabudowany,Odcinek prosty,Droga powiatowa,Jednokierunkowa,N,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI
1,0,1,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Jezdnia,EWK-106474814W,7,2017-10-16,Lekko,20*56'253,51*49'203,GMINNA,Obszar zabudowany,Odcinek prosty,Droga gminna,Jednokierunkowa,N,POWIAT GRÓJECKI,JASIENIEC - OBSZAR WIEJSKI
1,0,0,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Jezdnia,EWK-106474814W,7,2017-10-16,Nieokreślone (puste pole),20*56'253,51*49'203,GMINNA,Obszar zabudowany,Odcinek prosty,Droga gminna,Jednokierunkowa,N,POWIAT GRÓJECKI,JASIENIEC - OBSZAR WIEJSKI
1,0,2,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Przejście dla pieszych,EWK-106279185T,18,2017-07-24,Lekko,21*27'083,52*35'401,618,Obszar zabudowany,,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT WYSZKOWSKI,WYSZKÓW - OBSZAR MIEJSKI
1,0,0,2017,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Przejście dla pieszych,EWK-106279185T,18,2017-07-24,Nieokreślone (puste pole),21*27'083,52*35'401,618,Obszar zabudowany,,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT WYSZKOWSKI,WYSZKÓW - OBSZAR MIEJSKI
