Liczba wypadków,Liczba zabitych,Liczba rannych,Rok,Warunki atmosferyczne,Rodzaj zdarzenia,Warunki atmosferyczne,Oświetlenie,Charakterystyka miejsca zdarzenia,IDKSIP zdarzenia,Godzina,Dzień,Ranny,GPS x,GPS y,Numer drogi,Obszar,Geometria drogi,Kategoria drogi 1,Rodzaj drogi,Czy w zdarzeniu był sprawca nietrzeźwy,Powiat,Gmina
1,0,1,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-106724598P,1,2018-02-10,Lekko,21*04'52,52*40'48,61,Obszar zabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT PUŁTUSKI,PUŁTUSK - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107026303D,2,2018-06-17,Ciężko,22*16'188,52*36'076,63,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT SOKOŁOWSKI,STERDYŃ - OBSZAR WIEJSKI
1,0,2,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107026303D,2,2018-06-17,Lekko,22*16'188,52*36'076,63,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT SOKOŁOWSKI,STERDYŃ - OBSZAR WIEJSKI
1,1,0,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107241567K,20,2018-08-29,Nieokreślone (puste pole),21*26'071,52*39'504,P4408W,Obszar niezabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT WYSZKOWSKI,RZĄŚNIK - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107319231F,20,2018-09-27,Ciężko,21*08'581,51*17'337,733,Obszar niezabudowany,Odcinek prosty,Droga wojewódzka,Jednojezdniowa dwukierunkowa,N,POWIAT RADOMSKI,KOWALA - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107400434J,21,2018-10-24,Lekko,22*18'472,52*23'427,62,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT SOKOŁOWSKI,REPKI - OBSZAR WIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107400434J,21,2018-10-24,Nieokreślone (puste pole),22*18'472,52*23'427,62,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT SOKOŁOWSKI,REPKI - OBSZAR WIEJSKI
1,0,2,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-107433028F,17,2018-11-05,Lekko,22*24'130,52*03'397,P3656W,Obszar niezabudowany,"Zakręt, łuk",Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT SIEDLECKI,ZBUCZYN - OBSZAR WIEJSKI
1,1,0,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Skarpa, rów",EWK-106746676R,23,2018-02-20,Nieokreślone (puste pole),20*13'463,52*23'547,62,Obszar niezabudowany,"Zakręt, łuk",Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT PŁOCKI,WYSZOGRÓD - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,"Skarpa, rów",EWK-107005304T,23,2018-06-10,Lekko,20*40'572,51*21'512,12,Obszar zabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT PRZYSUSKI,PRZYSUCHA - OBSZAR WIEJSKI
