IDKSIP,year,date,hour,district,district_commune,road_category,road_number,type_of_road,road_geometry,area,Longitude,Latitude,char_place_of_the_event,weather_conditions,lighting,type_of_accident,num_of_accidents,num_of_fatalities,num_of_injured,type_of_injury,is_offender_intoxicated,,,,,,,,,,
EWK-98083715Y,2014,2014-01-02,17,POWIAT SIEDLECKI,PAPROTNIA - OBSZAR WIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,22.39925,52.2304722222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98089270H,2014,2014-01-07,17,POWIAT PŁOCKI,STAROŹREBY - OBSZAR WIEJSKI,Droga wojewódzka,567,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,20.0068611111111,52.6366944444444,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Lekko,T,,,,,,,,,,
EWK-98089270H,2014,2014-01-07,17,POWIAT PŁOCKI,STAROŹREBY - OBSZAR WIEJSKI,Droga wojewódzka,567,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,20.0068611111111,52.6366944444444,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),T,,,,,,,,,,
EWK-98099299M,2014,2014-01-16,16,POWIAT SZYDŁOWIECKI,SZYDŁOWIEC - OBSZAR MIEJSKI,Droga gminna,G400534W,Jednokierunkowa,,Obszar zabudowany,20.8602777777778,51.22275,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98099299M,2014,2014-01-16,16,POWIAT SZYDŁOWIECKI,SZYDŁOWIEC - OBSZAR MIEJSKI,Droga gminna,G400534W,Jednokierunkowa,,Obszar zabudowany,20.8602777777778,51.22275,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98104921L,2014,2014-01-23,20,POWIAT SOCHACZEWSKI,TERESIN - OBSZAR WIEJSKI,Droga powiatowa,3831W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,20.3665555555556,52.1614722222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98127248T,2014,2014-02-10,19,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga krajowa,62,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,19.7709444444444,52.5325277777778,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
EWK-98127248T,2014,2014-02-10,19,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga krajowa,62,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,19.7709444444444,52.5325277777778,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98128351P,2014,2014-02-12,1,POWIAT GRÓJECKI,GRÓJEC - OBSZAR WIEJSKI,Droga krajowa,S7,Ekspresowa,Odcinek prosty,Obszar niezabudowany,20.8767777777778,51.8552222222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98128351P,2014,2014-02-12,1,POWIAT GRÓJECKI,GRÓJEC - OBSZAR WIEJSKI,Droga krajowa,S7,Ekspresowa,Odcinek prosty,Obszar niezabudowany,20.8767777777778,51.8552222222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98142449J,2014,2014-02-24,23,POWIAT WĘGROWSKI,WĘGRÓW - OBSZAR MIEJSKI,Droga krajowa,62,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,22.0067777777778,52.4194444444444,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
