IDKSIP,year,date,hour,district,district_commune,road_category,road_number,type_of_road,road_geometry,area,Longitude,Latitude,char_place_of_the_event,weather_conditions,lighting,type_of_accident,num_of_accidents,num_of_fatalities,num_of_injured,type_of_injury,is_offender_intoxicated,,,,,,,,,,
EWK-103602459C,2015,2015-12-21,16,POWIAT RADOMSKI,PIONKI - OBSZAR MIEJSKI,Droga powiatowa,P3523W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.4468333333333,51.4740833333333,Jezdnia,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Lekko,T,,,,,,,,,,
EWK-103602459C,2015,2015-12-21,16,POWIAT RADOMSKI,PIONKI - OBSZAR MIEJSKI,Droga powiatowa,P3523W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.4468333333333,51.4740833333333,Jezdnia,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),T,,,,,,,,,,
EWK-103672659H,2015,2015-12-28,21,POWIAT ŻYRARDOWSKI,ŻYRARDÓW - OBSZAR MIEJSKI,Nieokreślone (puste pole),,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,20.4399722222222,52.0583611111111,Jezdnia,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-103672659H,2015,2015-12-28,21,POWIAT ŻYRARDOWSKI,ŻYRARDÓW - OBSZAR MIEJSKI,Nieokreślone (puste pole),,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,20.4399722222222,52.0583611111111,Jezdnia,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98712113X,2015,2015-01-02,17,POWIAT SZYDŁOWIECKI,SZYDŁOWIEC - OBSZAR WIEJSKI,Droga krajowa,7,Jednojezdniowa dwukierunkowa,,Obszar niezabudowany,20.8876666666667,51.2481111111111,Jezdnia,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),T,,,,,,,,,,
EWK-98919285J,2015,2015-05-26,1,POWIAT SIERPECKI,ZAWIDZ - OBSZAR WIEJSKI,Droga powiatowa,P3758W,Jednojezdniowa dwukierunkowa,"Zakręt, łuk",Obszar zabudowany,19.8561666666667,52.7640277777778,Jezdnia,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98919285J,2015,2015-05-26,1,POWIAT SIERPECKI,ZAWIDZ - OBSZAR WIEJSKI,Droga powiatowa,P3758W,Jednojezdniowa dwukierunkowa,"Zakręt, łuk",Obszar zabudowany,19.8561666666667,52.7640277777778,Jezdnia,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99342144F,2015,2015-11-20,15,POWIAT SOCHACZEWSKI,SOCHACZEW - OBSZAR MIEJSKI,Droga wojewódzka,580,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,20.2776388888889,52.2540277777778,Jezdnia,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
EWK-99342144F,2015,2015-11-20,15,POWIAT SOCHACZEWSKI,SOCHACZEW - OBSZAR MIEJSKI,Droga wojewódzka,580,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,20.2776388888889,52.2540277777778,Jezdnia,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-103605225Y,2015,2015-12-21,17,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga krajowa,12,Dwie jezdnie jednokierunkowe,Odcinek prosty,Obszar zabudowany,21.1397222222222,51.3908055555556,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-103605225Y,2015,2015-12-21,17,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga krajowa,12,Dwie jezdnie jednokierunkowe,Odcinek prosty,Obszar zabudowany,21.1397222222222,51.3908055555556,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-103699911C,2015,2015-12-18,7,POWIAT GARWOLIŃSKI,GARWOLIN - OBSZAR MIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,21.6158333333333,51.8961388888889,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
EWK-103699911C,2015,2015-12-18,7,POWIAT GARWOLIŃSKI,GARWOLIN - OBSZAR MIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,21.6158333333333,51.8961388888889,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98717763X,2015,2015-01-09,7,POWIAT GRÓJECKI,GRÓJEC - OBSZAR MIEJSKI,Droga powiatowa,P,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,20.8629444444444,51.8879722222222,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
EWK-98717763X,2015,2015-01-09,7,POWIAT GRÓJECKI,GRÓJEC - OBSZAR MIEJSKI,Droga powiatowa,P,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,20.8629444444444,51.8879722222222,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98780140M,2015,2015-03-02,17,POWIAT PRZASNYSKI,PRZASNYSZ - OBSZAR MIEJSKI,Droga krajowa,57,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.8803611111111,53.0213888888889,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
EWK-98780140M,2015,2015-03-02,17,POWIAT PRZASNYSKI,PRZASNYSZ - OBSZAR MIEJSKI,Droga krajowa,57,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.8803611111111,53.0213888888889,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98814741C,2015,2015-03-31,18,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga krajowa,12,Dwie jezdnie jednokierunkowe,Odcinek prosty,Obszar zabudowany,21.1472777777778,51.3916111111111,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98814741C,2015,2015-03-31,18,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga krajowa,12,Dwie jezdnie jednokierunkowe,Odcinek prosty,Obszar zabudowany,21.1472777777778,51.3916111111111,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99168031Q,2015,2015-09-15,20,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga powiatowa,P,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,19.67675,52.5584722222222,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,2,Lekko,N,,,,,,,,,,
EWK-99168031Q,2015,2015-09-15,20,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga powiatowa,P,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,19.67675,52.5584722222222,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99237293E,2015,2015-10-12,17,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga krajowa,62,Dwie jezdnie jednokierunkowe,Odcinek prosty,Obszar zabudowany,19.7593055555556,52.5552222222222,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Lekko,T,,,,,,,,,,
EWK-99237293E,2015,2015-10-12,17,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga krajowa,62,Dwie jezdnie jednokierunkowe,Odcinek prosty,Obszar zabudowany,19.7593055555556,52.5552222222222,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),T,,,,,,,,,,
EWK-99241005T,2015,2015-10-13,6,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5304W  ,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,21.1627777777778,51.4036944444444,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-99241005T,2015,2015-10-13,6,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5304W  ,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,21.1627777777778,51.4036944444444,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99249378Q,2015,2015-10-16,6,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga powiatowa,P,Jednojezdniowa dwukierunkowa,"Zakręt, łuk",Obszar zabudowany,19.6562222222222,52.5781111111111,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-99249378Q,2015,2015-10-16,6,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga powiatowa,P,Jednojezdniowa dwukierunkowa,"Zakręt, łuk",Obszar zabudowany,19.6562222222222,52.5781111111111,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99336983Q,2015,2015-11-18,16,POWIAT BIAŁOBRZESKI,BIAŁOBRZEGI - OBSZAR MIEJSKI,Droga gminna,G110150W,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,20.9408333333333,51.6473333333333,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-99336983Q,2015,2015-11-18,16,POWIAT BIAŁOBRZESKI,BIAŁOBRZEGI - OBSZAR MIEJSKI,Droga gminna,G110150W,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,20.9408333333333,51.6473333333333,Przejście dla pieszych,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98809927E,2015,2015-03-26,17,POWIAT OSTROŁĘKA,OSTROŁĘKA - OBSZAR MIEJSKI,Droga powiatowa,P5107W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.56425,53.0748611111111,Przystanek komunikacji publicznej,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98809927E,2015,2015-03-26,17,POWIAT OSTROŁĘKA,OSTROŁĘKA - OBSZAR MIEJSKI,Droga powiatowa,P5107W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.56425,53.0748611111111,Przystanek komunikacji publicznej,Opady deszczu,"Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-103537894W,2015,2015-12-12,9,POWIAT GRÓJECKI,CHYNÓW - OBSZAR WIEJSKI,Droga krajowa,K50CH,Jednojezdniowa dwukierunkowa,"Zakręt, łuk",Obszar niezabudowany,21.0930277777778,51.9136944444445,Jezdnia,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
EWK-103537894W,2015,2015-12-12,9,POWIAT GRÓJECKI,CHYNÓW - OBSZAR WIEJSKI,Droga krajowa,K50CH,Jednojezdniowa dwukierunkowa,"Zakręt, łuk",Obszar niezabudowany,21.0930277777778,51.9136944444445,Jezdnia,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98812814U,2015,2015-03-30,7,POWIAT RADOMSKI,KOWALA - OBSZAR WIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.1285,51.34125,Jezdnia,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98812814U,2015,2015-03-30,7,POWIAT RADOMSKI,KOWALA - OBSZAR WIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.1285,51.34125,Jezdnia,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99254137Q,2015,2015-10-17,8,POWIAT RADOMSKI,JEDLNIA-LETNISKO - OBSZAR WIEJSKI,Droga krajowa,12,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.2227777777778,51.4139444444445,Jezdnia,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-99254137Q,2015,2015-10-17,8,POWIAT RADOMSKI,JEDLNIA-LETNISKO - OBSZAR WIEJSKI,Droga krajowa,12,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.2227777777778,51.4139444444445,Jezdnia,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99342366A,2015,2015-11-18,13,POWIAT SIEDLCE,SIEDLCE - OBSZAR MIEJSKI,Droga wojewódzka,W628,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,22.2733333333333,52.1705,Jezdnia,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-99342366A,2015,2015-11-18,13,POWIAT SIEDLCE,SIEDLCE - OBSZAR MIEJSKI,Droga wojewódzka,W628,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,22.2733333333333,52.1705,Jezdnia,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98723215Y,2015,2015-01-09,10,POWIAT MŁAWSKI,MŁAWA - OBSZAR MIEJSKI,Droga powiatowa,P4640W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.3651666666667,53.1063333333333,Przejazd kolejowy strzeżony,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98824217F,2015,2015-04-01,14,POWIAT WYSZKOWSKI,WYSZKÓW - OBSZAR MIEJSKI,Droga gminna,G440565W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.4483611111111,52.5881388888889,Przejazd kolejowy strzeżony,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98717764H,2015,2015-01-10,11,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5312W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.1989444444444,51.4137222222222,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98717764H,2015,2015-01-10,11,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5312W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.1989444444444,51.4137222222222,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98822647E,2015,2015-04-03,12,POWIAT PRZYSUSKI,PRZYSUCHA - OBSZAR MIEJSKI,Droga krajowa,12,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.6236666666667,51.3596111111111,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98822647E,2015,2015-04-03,12,POWIAT PRZYSUSKI,PRZYSUCHA - OBSZAR MIEJSKI,Droga krajowa,12,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.6236666666667,51.3596111111111,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98877582K,2015,2015-05-06,17,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5301W,Dwie jezdnie jednokierunkowe,,Obszar zabudowany,21.1635277777778,51.4196666666667,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,2,Lekko,N,,,,,,,,,,
EWK-98877582K,2015,2015-05-06,17,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5301W,Dwie jezdnie jednokierunkowe,,Obszar zabudowany,21.1635277777778,51.4196666666667,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98908260R,2015,2015-05-20,19,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5312W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.2018333333333,51.411,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98908260R,2015,2015-05-20,19,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5312W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.2018333333333,51.411,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98922887X,2015,2015-05-27,7,POWIAT OSTROWSKI,OSTRÓW MAZOWIECKA - OBSZAR MIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.8927222222222,52.8104722222222,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98922887X,2015,2015-05-27,7,POWIAT OSTROWSKI,OSTRÓW MAZOWIECKA - OBSZAR MIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.8927222222222,52.8104722222222,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99150974G,2015,2015-09-07,13,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga gminna,G530096W,Dwie jezdnie jednokierunkowe,Odcinek prosty,Obszar zabudowany,21.1405,51.3985833333333,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-99150974G,2015,2015-09-07,13,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga gminna,G530096W,Dwie jezdnie jednokierunkowe,Odcinek prosty,Obszar zabudowany,21.1405,51.3985833333333,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99239615T,2015,2015-10-13,15,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga powiatowa,P,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,19.7043055555556,52.55925,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
EWK-99239615T,2015,2015-10-13,15,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga powiatowa,P,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,19.7043055555556,52.55925,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99243987G,2015,2015-10-12,17,POWIAT ŻYRARDOWSKI,ŻYRARDÓW - OBSZAR MIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.4452777777778,52.0694444444444,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-99243987G,2015,2015-10-12,17,POWIAT ŻYRARDOWSKI,ŻYRARDÓW - OBSZAR MIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.4452777777778,52.0694444444444,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99338830C,2015,2015-11-18,7,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga wojewódzka,562,Jednojezdniowa dwukierunkowa,"Zakręt, łuk",Obszar zabudowany,19.6721944444444,52.5576666666667,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-99338830C,2015,2015-11-18,7,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga wojewódzka,562,Jednojezdniowa dwukierunkowa,"Zakręt, łuk",Obszar zabudowany,19.6721944444444,52.5576666666667,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99362920Q,2015,2015-11-29,15,POWIAT SOCHACZEWSKI,SOCHACZEW - OBSZAR WIEJSKI,Droga krajowa,K92S,Jednojezdniowa dwukierunkowa,,Obszar niezabudowany,20.2613055555556,52.22375,Przejście dla pieszych,Opady deszczu,Światło dzienne,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-99239322N,2015,2015-10-13,18,POWIAT SOCHACZEWSKI,SOCHACZEW - OBSZAR MIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.2609444444444,52.2272777777778,"Chodnik, droga dla pieszych","Opady deszczu; Mgła, dym",Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-99239322N,2015,2015-10-13,18,POWIAT SOCHACZEWSKI,SOCHACZEW - OBSZAR MIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.2609444444444,52.2272777777778,"Chodnik, droga dla pieszych","Opady deszczu; Mgła, dym",Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98721896W,2015,2015-01-15,5,POWIAT MŁAWSKI,SZYDŁOWO - OBSZAR WIEJSKI,Droga wojewódzka,544,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,20.4225277777778,53.0937222222222,Jezdnia,"Opady śniegu, gradu",Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98742112F,2015,2015-01-27,17,POWIAT ŻYRARDOWSKI,ŻYRARDÓW - OBSZAR MIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,20.4452777777778,52.0607777777778,Jezdnia,"Opady śniegu, gradu",Noc - droga oświetlona,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98742112F,2015,2015-01-27,17,POWIAT ŻYRARDOWSKI,ŻYRARDÓW - OBSZAR MIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,20.4452777777778,52.0607777777778,Jezdnia,"Opady śniegu, gradu",Noc - droga oświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-103593141X,2015,2015-12-15,17,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5321W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.1703333333333,51.4080833333333,Przejście dla pieszych,"Opady śniegu, gradu","Zmrok, świt",Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-103593141X,2015,2015-12-15,17,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5321W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.1703333333333,51.4080833333333,Przejście dla pieszych,"Opady śniegu, gradu","Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98735780Q,2015,2015-01-23,6,POWIAT CIECHANOWSKI,CIECHANÓW - OBSZAR MIEJSKI,Droga gminna,G121265W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.6130833333333,52.8747777777778,Przejście dla pieszych,"Opady śniegu, gradu","Zmrok, świt",Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
EWK-98735780Q,2015,2015-01-23,6,POWIAT CIECHANOWSKI,CIECHANÓW - OBSZAR MIEJSKI,Droga gminna,G121265W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.6130833333333,52.8747777777778,Przejście dla pieszych,"Opady śniegu, gradu","Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98821507K,2015,2015-04-03,18,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5305W,Dwie jezdnie jednokierunkowe,,Obszar zabudowany,21.1427777777778,51.4089722222222,Przejście dla pieszych,"Opady śniegu, gradu","Zmrok, świt",Najechanie na pieszego,1,0,2,Lekko,N,,,,,,,,,,
EWK-98821507K,2015,2015-04-03,18,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5305W,Dwie jezdnie jednokierunkowe,,Obszar zabudowany,21.1427777777778,51.4089722222222,Przejście dla pieszych,"Opady śniegu, gradu","Zmrok, świt",Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98757417E,2015,2015-02-09,7,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga powiatowa,P,Jednokierunkowa,,Obszar zabudowany,19.7169722222222,52.5416944444445,Przejście dla pieszych,"Opady śniegu, gradu",Światło dzienne,Najechanie na pieszego,1,0,2,Ciężko,N,,,,,,,,,,
EWK-98757417E,2015,2015-02-09,7,POWIAT PŁOCK,PŁOCK - OBSZAR MIEJSKI,Droga powiatowa,P,Jednokierunkowa,,Obszar zabudowany,19.7169722222222,52.5416944444445,Przejście dla pieszych,"Opady śniegu, gradu",Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98818527W,2015,2015-04-02,17,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5308W,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,21.1608888888889,51.41,Przejście dla pieszych,"Opady śniegu, gradu",Światło dzienne,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
